isolation_forest,logreg_weighted,xgboost_weighted
-0.08331385337279007,0.0017648164678764513,0.05572409927845001
-0.08681460246677791,0.08819609434659968,0.08484278619289398
-0.08487106016768875,0.1864116123786491,0.07179895788431168
-0.08630932051130802,0.9998472262805377,0.11520562320947647
-0.08466553323601922,0.9999986689734818,0.05836436152458191
-0.08367274217443332,0.4783992642701133,0.1544688642024994
-0.09587107671229383,0.060991855005664904,0.1348860263824463
-0.08290232976065354,0.3256590754614492,0.5223594307899475
-0.05662983692207574,0.8378453101058465,0.6549104452133179
-0.0654643985426554,0.04105320586850592,0.04691347852349281
-0.034610344083247535,0.7704632448597726,0.25593748688697815
-0.0807066013326262,0.048851150539822544,0.190920889377594
-0.09229908382133317,0.023541054163553943,0.13783234357833862
-0.07920589260009736,2.7451656480765445e-05,0.03180970251560211
-0.028005892063805105,0.0014846866040659258,0.6255815625190735
-0.02842964101502221,0.98906524365511,0.2289227843284607
-0.08701101931434763,0.0021913597198308073,0.039996035397052765
-0.08791776107648719,0.861364019227843,0.018263911828398705
-0.09637701160373019,0.27238532324152276,0.020547110587358475
-0.09091909729300374,0.7742766348064818,0.19390861690044403
-0.09689125607130289,0.041489740053231715,0.3749743402004242
-0.09822828356311541,0.6089189999327502,0.10083694010972977
-0.10056022640630369,0.6656553242032861,0.2978810667991638
-0.04245798253851407,0.4056350106491939,0.35628458857536316
-0.05026339701643484,0.530050449969838,0.19226522743701935
-0.039735703855081905,0.12695684497498883,0.03939909487962723
-0.1002097598508182,0.16498220335442834,0.05259265750646591
-0.07764410186435577,0.11021650725702499,0.07117556780576706
-0.09468517886382344,0.552698464666798,0.15279684960842133
-0.09809356323001228,0.43524794497569413,0.3670663833618164
-0.08903731979190471,0.9983870846522996,0.11921224743127823
-0.0833407578891679,0.09503446860201302,0.12263305485248566
-0.097314817852663,0.3947366550017609,0.0338941290974617
-0.054368788453797834,0.8594377748976608,0.19323156774044037
-0.07494778209735736,0.9530564454084365,0.7766762971878052
-0.09256696642408424,0.614988438572626,0.06903163343667984
-0.005569631001866526,0.9972450230383711,0.30280688405036926
-0.09651293064123567,0.6600208603049371,0.22615665197372437
-0.08480315402737071,0.9991717928241983,0.4874837100505829
-0.10290567860570721,0.6448842096637684,0.26114463806152344
-0.06828849191490471,0.931639371794622,0.3965689241886139
-0.11416416325594941,0.19864009301349458,0.017644645646214485
-0.09792203300538749,0.8047869563602114,0.154245987534523
-0.07285152747620027,0.7732606342554849,0.16450542211532593
-0.05230624944446155,0.7328668263479242,0.7481067180633545
-0.09587177219206827,0.4629264064807291,0.04881943762302399
-0.050282724096969766,0.8982164161670062,0.679827094078064
-0.07779722996959876,0.1463298437632295,0.5749275088310242
-0.08435694339374333,0.005944706813090528,0.05670548230409622
